compound_id,original_row_index,activity,pca_1,pca_2,split
compound_0,0,2.209,-7.192532109735587,-15.081250439136557,train
compound_1,1,3.611,-15.23573313255263,28.442095467005345,train
compound_2,2,1.429,-23.007556777555717,2.0438699411384045,val
compound_3,3,2.5,-17.87775871499699,14.795086652610284,val
compound_4,4,1.867,-5.74692263514293,1.5154641427801643,train
compound_5,5,2.903,-23.698283578819666,15.767600065257552,train
compound_6,6,2.172,15.366292794106851,6.42303709186841,train
compound_7,7,1.503,16.84902511020752,17.038563447973072,train
compound_8,8,2.283,-24.063221522943113,4.636007207915238,train
compound_9,9,1.808,-22.944111131111434,1.7722630530923904,test
compound_10,10,1.586,-22.680577477669253,1.4556461921144201,train
compound_11,11,1.659,-20.884673795938248,-9.289111738536832,val
compound_12,12,1.936,-25.324785076630096,-8.177346166448434,train
compound_13,13,2.316,-20.057274749184753,-11.902272099706932,train
compound_14,14,1.595,-13.85555285901356,-11.16479870813529,train
compound_15,15,1.863,-21.81646541472036,-7.403604449517989,test
compound_16,16,2.412,-25.04839711512744,-7.659001784026027,test
compound_17,17,2.107,-23.846434230106382,-13.126225033074201,train
compound_18,18,1.534,32.71199216171259,19.930204055708344,test
compound_19,19,2.021,-22.09299798034615,-3.733675849393102,train
compound_20,20,1.346,-20.97567293646888,-11.478719438888746,train
compound_21,21,2.635,-22.28868837922251,-1.8434259692903892,train
compound_22,22,1.806,-16.829743803752812,11.393492342266663,train
compound_23,23,2.401,-12.940549823871148,25.232438564248852,train
compound_24,24,2.265,-25.911057712776763,-4.595532749104857,train
compound_25,25,1.52,-19.078337099508133,1.6639600181811776,train
compound_26,26,1.874,-16.534614020737667,-6.043666870793231,train
compound_27,27,2.838,28.036129032923256,-3.6772768363231334,train
compound_28,28,2.422,19.749443701985612,23.36248149051424,train
compound_29,29,4.005,11.396472432036317,-11.086258436478554,train
compound_30,30,3.268,28.469188466665546,2.120023391794974,train
compound_31,31,1.511,3.3903964338578554,-4.157204769617056,val
compound_32,32,2.227,-16.842291606710813,-5.460196026980462,train
compound_33,33,1.977,-21.31393794513526,-7.413620679416616,train
compound_34,34,2.011,-19.69891384008414,1.542078594304817,train
compound_35,35,1.829,-13.882767722662388,15.579844964270386,train
compound_36,36,2.097,69.37267349596516,8.614786244237768,train
compound_37,37,2.092,9.265287827706,0.06447240785282496,train
compound_38,38,1.323,15.521833578865834,-3.123776428980858,train
compound_39,39,3.612,8.625849876771815,-8.965513994370161,train
compound_40,40,2.574,-6.662047836499611,9.999130307711875,train
compound_41,41,3.983,0.5530927051344418,-5.506146989327011,train
compound_42,42,4.452,-13.247470015747421,8.028119338403483,test
compound_43,43,3.045,3.6362271309565375,-8.17079076424926,train
compound_44,44,2.878,19.418661166622517,-2.2485859534528867,val
compound_45,45,3.122,12.665897989001175,13.300307550701264,train
compound_46,46,2.496,-15.496606417719306,18.690530523675477,train
